omarImam;CarletonUni;Omar;Mostafa;Canada;22
test;CarletonUni;FAILS;FAILS;Canada;10
AlyRagai;CarletonUni;Aly;ragai;Canada;21
omarImam1;CarletonUni;Omar1;Mostafa1;Canada;23
omarImam2;CarletonUni;Omar2;Mostafa2;Canada;24
omarImam3;CarletonUni;Omar3;Mostafa3;Canada;25
omarImam4;CarletonUni;Omar4;Mostafa4;Canada;26
omarImam5;CarletonUni;Omar5;Mostafa5;Canada;27
omarImam6;CarletonUni;Omar6;Mostafa6;Canada;28
omarImam7;CarletonUni;Omar7;Mostafa7;Canada;29
omarImam8;CarletonUni;Omar8;Mostafa8;Canada;30
omarImam9;CarletonUni;Omar9;Mostafa9;Canada;31
omarImam10;CarletonUni;Omar10;Mostafa10;Canada;32
omarImam11;CarletonUni;Omar11;Mostafa11;Canada;33
omarImam12;CarletonUni;Omar12;Mostafa12;Canada;34
omarImam13;CarletonUni;Omar13;Mostafa13;Canada;35
omarImam14;CarletonUni;Omar14;Mostafa14;Canada;36
omarImam15;CarletonUni;Omar15;Mostafa15;Canada;37
omarImam16;CarletonUni;Omar16;Mostafa16;Canada;38
omarImam17;CarletonUni;Omar17;Mostafa17;Canada;39
omarImam18;CarletonUni;Omar18;Mostafa18;Canada;40
test_2;CarletonUni;FAILS;FAILS;Canada;12
omarImam19;CarletonUni;Omar19;Mostafa19;Canada;41
omarImam20;CarletonUni;Omar20;Mostafa20;Canada;42
omarImam21;CarletonUni;Omar21;Mostafa21;Canada;43
omarImam22;CarletonUni;Omar22;Mostafa22;Canada;44
test_3;CarletonUni;FAILS;FAILS;Canada;17
omarImam100;CarletonUni;Omar1;Mostafa1;Canada;23
omarImam200;CarletonUni;Omar2;Mostafa2;Canada;24
omarImam300;CarletonUni;Omar3;Mostafa3;Canada;25
omarImam400;CarletonUni;Omar4;Mostafa4;Canada;26
omarImam500;CarletonUni;Omar5;Mostafa5;Canada;27
omarImam600;CarletonUni;Omar6;Mostafa6;Canada;28
omarImam700;CarletonUni;Omar7;Mostafa7;Canada;29
omarImam800;CarletonUni;Omar8;Mostafa8;Canada;30
omarImam900;CarletonUni;Omar9;Mostafa9;Canada;31
omarImam1000;CarletonUni;Omar10;Mostafa10;Canada;32
omarImam1100;CarletonUni;Omar11;Mostafa11;Canada;33
omarImam1200;CarletonUni;Omar12;Mostafa12;Canada;34
omarImam1300;CarletonUni;Omar13;Mostafa13;Canada;35
omarImam1400;CarletonUni;Omar14;Mostafa14;Canada;36
omarImam1500;CarletonUni;Omar15;Mostafa15;Canada;37
omarImam1600;CarletonUni;Omar16;Mostafa16;Canada;38
omarImam1700;CarletonUni;Omar17;Mostafa17;Canada;39
omarImam1800;CarletonUni;Omar18;Mostafa18;Canada;40
omarImam111;CarletonUni;Omar1;Mostafa1;Canada;23
omarImam211;CarletonUni;Omar2;Mostafa2;Canada;24
omarImam311;CarletonUni;Omar3;Mostafa3;Canada;25
omarImam411;CarletonUni;Omar4;Mostafa4;Canada;26
omarImam511;CarletonUni;Omar5;Mostafa5;Canada;27
omarImam611;CarletonUni;Omar6;Mostafa6;Canada;28
omarImam711;CarletonUni;Omar7;Mostafa7;Canada;29
omarImam811;CarletonUni;Omar8;Mostafa8;Canada;30
omarImam911;CarletonUni;Omar9;Mostafa9;Canada;31
omarImam1011;CarletonUni;Omar10;Mostafa10;Canada;32
omarImam1111;CarletonUni;Omar11;Mostafa11;Canada;33
omarImam1211;CarletonUni;Omar12;Mostafa12;Canada;34
omarImam1311;CarletonUni;Omar13;Mostafa13;Canada;35
omarImam1411;CarletonUni;Omar14;Mostafa14;Canada;36
omarImam1511;CarletonUni;Omar15;Mostafa15;Canada;37
omarImam1611;CarletonUni;Omar16;Mostafa16;Canada;38
omarImam1711;CarletonUni;Omar17;Mostafa17;Canada;39
omarImam1811;CarletonUni;Omar18;Mostafa18;Canada;40
omarImam112;CarletonUni;Omar1;Mostafa1;Canada;23
omarImam212;CarletonUni;Omar2;Mostafa2;Canada;24
omarImam312;CarletonUni;Omar3;Mostafa3;Canada;25
omarImam412;CarletonUni;Omar4;Mostafa4;Canada;26
omarImam512;CarletonUni;Omar5;Mostafa5;Canada;27
omarImam612;CarletonUni;Omar6;Mostafa6;Canada;28
omarImam712;CarletonUni;Omar7;Mostafa7;Canada;29
omarImam812;CarletonUni;Omar8;Mostafa8;Canada;30
omarImam912;CarletonUni;Omar9;Mostafa9;Canada;31
omarImam1012;CarletonUni;Omar10;Mostafa10;Canada;32
omarImam1112;CarletonUni;Omar11;Mostafa11;Canada;33
omarImam1212;CarletonUni;Omar12;Mostafa12;Canada;34
omarImam1312;CarletonUni;Omar13;Mostafa13;Canada;35
omarImam1412;CarletonUni;Omar14;Mostafa14;Canada;36
omarImam1512;CarletonUni;Omar15;Mostafa15;Canada;37
omarImam1612;CarletonUni;Omar16;Mostafa16;Canada;38
omarImam1712;CarletonUni;Omar17;Mostafa17;Canada;39
omarImam1812;CarletonUni;Omar18;Mostafa18;Canada;40
